Protein,Cluster 0 Mean Expression,Cluster 1 Mean Expression,Difference (Cluster 1 - Cluster 0)
CRBB2,9.840954288441441,9.836472721921348,-0.004481566520093239
c-Raf,8.63801129363964,8.573184616629213,-0.06482667701042644
ZNF41,7.059467892252252,6.919841111157304,-0.13962678109494853
ELK1,9.946197726639639,9.86018712105618,-0.08601060558345885
GUC1A,9.06884990254955,9.154964664078651,0.08611476152910136
OCRL,11.410183782612613,11.494973263932584,0.08478948131997122
SPDEF,11.10261462783784,11.096229606516854,-0.006385021320985729
Fc_MOUSE,9.156950392774775,9.160858892044944,0.00390849927016923
SLUG,10.427572169621621,10.393691822887641,-0.033880346733980105
KCAB2,9.931911271702704,9.945721552033708,0.013810280331004066
POLH,7.580008403027027,7.754549101011236,0.17454069798420857
VDR,9.034544205207208,9.04883929422472,0.014295089017512197
HOGA1,10.364972150846848,10.33416687105618,-0.03080527979066794
MutY homolog,7.700304684747747,7.713611143966292,0.013306459218545008
DUS4,9.386815818783784,9.41163024324719,0.02481442446340587
ZHX3,11.373308619099099,11.330155938247191,-0.04315268085190738
SIG12,8.210504282792792,8.201252731179775,-0.009251551613017384
HNF4A,10.399506674936937,10.412327380955055,0.012820706018118244
SGK3,9.7927948539009,9.810911811202248,0.01811695730134666
BRD4,9.76886115917117,9.609163168966292,-0.15969799020487763
CUL3,10.422785681063063,10.473742553876404,0.05095687281334094
cIAP-1,10.950457986306308,10.88818660494382,-0.06227138136248733
PEBB,9.46057512336036,9.424866986269663,-0.035708137090697534
TERF1,11.786189723234234,11.926064386393259,0.1398746631590253
ILK1,8.549087719594594,8.636343528516853,0.0872558089222597
GAN,11.323353428405404,11.232772389325843,-0.09058103907956117
FOXM1,13.845140380090092,13.677434909999999,-0.16770547009009285
RD23A,9.357241503621623,9.330137625752808,-0.027103877868814408
FANCL,10.292593962072072,10.257446735348315,-0.035147226723756475
RBBP9,10.563338095027026,10.51704922269663,-0.04628887233039691
PLCG2,9.724252306900901,9.681396412606741,-0.042855894294159924
TYDP1,9.963998180891892,10.003153785719102,0.0391556048272097
BRD2,8.325425127414414,8.230128759146067,-0.09529636826834675
ACBD6,10.631989337117117,10.65832811741573,0.026338780298612363
AP4M1,9.743570438135135,9.7611120172809,0.01754157914576382
BAG3,10.093336337666667,10.034224079764046,-0.05911225790262087
EI2BA,9.176993342333333,9.116754272764044,-0.06023906956928826
SATB2,10.412137533765765,10.475097828741573,0.06296029497580768
NFL,10.434815128162162,10.394478963775281,-0.040336164386880924
STAR,10.731776883783784,10.75350514022472,0.021728256440935567
CBS,10.622989594558558,10.620145934573033,-0.0028436599855243827
APT,9.633238757711712,9.585307308078653,-0.04793144963305984
ASML,11.590229356486486,11.628125025955056,0.03789566946857015
CHIP,11.424661010450452,11.406991116067415,-0.017669894383036677
NSE,13.81613327027027,13.988979633258426,0.17284636298815492
IL-10 Ra,10.465186149450451,10.518657004269663,0.053470854819211766
STAT3,9.489854159225226,9.575381306438201,0.08552714721297505
c-Jun,8.855988152972973,8.813338426528091,-0.042649726444881964
OAS1,12.438635854594594,12.515621331910113,0.07698547731551919
c-Myc,11.81653391981982,11.793129230898877,-0.023404688920942718
SMAD3,10.000933271675676,10.035252275483147,0.03431900380747166
SMAD2,10.540628599738739,10.69648013658427,0.15585153684553177
IL-23,7.865627698585586,7.8604128998426965,-0.005214798742889215
PDGFRA,12.87627306117117,12.587677966741573,-0.2885950944295974
IL-12,12.12408993900901,12.052677260112361,-0.0714126788966496
STAT1,8.913469124288289,8.924685678314606,0.011216554026317382
STAT6,9.740534823855855,9.696217967573034,-0.04431685628282089
ZNRF3,8.86862061318018,8.769169339674157,-0.09945127350602334
ANGL3,10.367625706261261,10.319469565393257,-0.048156140868004016
Mcl-1,12.193834742072072,12.103914957191012,-0.08991978488105978
STX12,9.111455041738738,9.104993995932585,-0.006461045806153365
SCAR5,9.744759489963963,9.703465222134831,-0.041294267829131925
NPDC1,10.456817755495496,10.449341806651685,-0.007475948843811864
B4GT5,10.790843993063062,10.694626235258427,-0.09621775780463437
KI2S2,7.189360503477478,7.221323172179775,0.03196266870229714
4F2,9.204977979891892,9.171601867674157,-0.03337611221773429
K1644,9.950932879711711,10.006888699685394,0.05595581997368271
ASPG,10.309726320558559,10.337389557505618,0.027663236947059744
CSF2R,8.005731710837837,7.860424103629213,-0.14530760720862457
ACAM,8.607762985504506,8.591896602707864,-0.01586638279664143
TM190,12.341863899819819,12.303614309550563,-0.03824959026925612
ApoM,12.250277430243242,12.257243281977528,0.006965851734285877
PABP3,6.627327677954955,6.639646501719102,0.012318823764147169
NUCB1,8.787018676693695,8.781833103247191,-0.005185573446503611
CEA20,8.60607053209009,8.67750411094382,0.07143357885373014
DJC16,7.9697383450810815,7.9568077976741565,-0.012930547406925008
IL-31,8.201484946468469,8.25801524664045,0.056530300171981906
INSL5,8.782121495333334,8.843816825887641,0.06169533055430776
ANTR1,9.181385821333334,9.180180710303372,-0.00120511102996268
RPN1,7.2564081294234235,7.334898616617978,0.07849048719455443
CaCC,7.663854360324324,7.667579029044943,0.003724668720619384
T106A,9.699947875873875,9.740778492606742,0.04083061673286714
PGRC2,7.36841625109009,7.400026113382022,0.03160986229193252
sperm protein 10,7.881163162324324,7.905425177775281,0.024262015450957186
SCIMP,9.230084087045045,9.403746572089888,0.1736624850448436
