,SeqId,TargetFullName,Target,UniProt,EntrezGeneSymbol,Units,Dilution,PlateScale_Reference,Function
1,10000-28,Beta-crystallin B2,CRBB2,P43320,CRYBB2,RFU,20,687.4,
2,10001-7,RAF proto-oncogene serine/threonine-protein kinase,c-Raf,P04049,RAF1,RFU,20,227.8,
3,10003-15,Zinc finger protein 41,ZNF41,P51814,ZNF41,RFU,0.5,126.9,
4,10006-25,ETS domain-containing protein Elk-1,ELK1,P19419,ELK1,RFU,20,634.2,
5,10008-43,Guanylyl cyclase-activating protein 1,GUC1A,P43080,GUCA1A,RFU,20,585,
6,10011-65,Inositol polyphosphate 5-phosphatase OCRL-1,OCRL,Q01968,OCRL,RFU,20,2807.1,
7,10012-5,SAM pointed domain-containing Ets transcription factor,SPDEF,O95238,SPDEF,RFU,20,1623.3,
8,10013-34,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,499.6,
9,10014-31,Zinc finger protein SNAI2,SLUG,O43623,SNAI2,RFU,20,857.2,
10,10015-119,Voltage-gated potassium channel subunit beta-2,KCAB2,Q13303,KCNAB2,RFU,20,443.3,
11,10021-1,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,911.6,
12,10022-207,DNA polymerase eta,POLH,Q9Y253,POLH,RFU,20,202.6,
13,10023-32,Vitamin D3 receptor,VDR,P11473,VDR,RFU,20,489.2,
14,10024-44,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",HOGA1,Q86XE5,HOGA1,RFU,20,851.9,
15,10030-8,Adenine DNA glycosylase,MutY homolog,Q9UIF7,MUTYH,RFU,20,198.8,
16,10034-16,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,3449.8,
17,10035-6,Dual specificity protein phosphatase 4,DUS4,Q13115,DUSP4,RFU,20,570.1,
18,10036-201,Zinc fingers and homeoboxes protein 3,ZHX3,Q9H4I2,ZHX3,RFU,0.5,2890.8,
19,10037-98,Sialic acid-binding Ig-like lectin 12,SIG12,Q96PQ1,SIGLEC12,RFU,20,191.7,
21,10041-3,Hepatocyte nuclear factor 4-alpha,HNF4A,P41235,HNF4A,RFU,0.5,34649.9,
22,10042-8,Serine/threonine-protein kinase Sgk3,SGK3,Q96BR1,SGK3,RFU,20,745.5,
23,10043-31,Bromodomain-containing protein 4,BRD4,O60885,BRD4,RFU,20,449.1,
24,10045-47,Cullin-3,CUL3,Q13618,CUL3,RFU,20,588.3,
25,10046-55,Baculoviral IAP repeat-containing protein 2,cIAP-1,Q13490,BIRC2,RFU,20,943.9,
26,10048-7,Core-binding factor subunit beta,PEBB,Q13951,CBFB,RFU,20,1525.1,
27,10049-112,Telomeric repeat-binding factor 1,TERF1,P54274,TERF1,RFU,20,469,
28,10053-5,Integrin-linked protein kinase,ILK1,Q13418,ILK,RFU,20,1238.2,
29,10054-3,Gigaxonin,GAN,Q9H2C0,GAN,RFU,20,368.2,
30,10056-5,Forkhead box protein M1,FOXM1,Q08050,FOXM1,RFU,20,760.4,
31,10058-1,UV excision repair protein RAD23 homolog A,RD23A,P54725,RAD23A,RFU,20,8880.1,
32,10063-10,E3 ubiquitin-protein ligase FANCL,FANCL,Q9NW38,FANCL,RFU,20,445,
33,10064-12,Putative hydrolase RBBP9,RBBP9,O75884,RBBP9,RFU,0.5,1297.9,
34,10070-22,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",PLCG2,P16885,PLCG2,RFU,20,485.9,
35,10073-22,Tyrosyl-DNA phosphodiesterase 1,TYDP1,Q9NUW8,TDP1,RFU,20,529.2,
36,10074-128,Bromodomain-containing protein 2,BRD2,P25440,BRD2,RFU,20,711,
37,10075-75,Acyl-CoA-binding domain-containing protein 6,ACBD6,Q9BR61,ACBD6,RFU,20,108.9,
38,10076-1,AP-4 complex subunit mu-1,AP4M1,O00189,AP4M1,RFU,20,956.2,
39,10078-5,BAG family molecular chaperone regulator 3,BAG3,O95817,BAG3,RFU,20,616.4,
40,10080-9,Translation initiation factor eIF-2B subunit alpha,EI2BA,Q14232,EIF2B1,RFU,20,711.4,
41,10081-17,DNA-binding protein SATB2,SATB2,Q9UPW6,SATB2,RFU,20,553.3,
42,10082-251,Neurofilament light polypeptide,NFL,P07196,NEFL,RFU,0.5,704.4,
43,10085-25,"Steroidogenic acute regulatory protein, mitochondrial",STAR,P49675,STAR,RFU,0.5,1305.4,
44,10086-39,Cystathionine beta-synthase,CBS,P35520,CBS,RFU,20,1914.8,
46,10088-37,Adenine phosphoribosyltransferase,APT,P07741,APRT,RFU,20,287.8,
47,10089-7,N-acetylserotonin O-methyltransferase-like protein,ASML,O95671,ASMTL,RFU,20,448.9,
48,10336-3,E3 ubiquitin-protein ligase CHIP,CHIP,Q9UNE7,STUB1,RFU,20,738.1,
49,10339-48,Gamma-enolase,NSE,P09104,ENO2,RFU,20,6681,
50,10344-334,Interleukin-10 receptor subunit alpha,IL-10 Ra,Q13651,IL10RA,RFU,20,3933.5,
51,10346-5,Signal transducer and activator of transcription 3,STAT3,P40763,STAT3,RFU,20,3942,
52,10356-21,Transcription factor AP-1,c-Jun,P05412,JUN,RFU,20,1571.4,
53,10361-25,2'-5'-oligoadenylate synthase 1,OAS1,P00973,OAS1,RFU,20,375.5,
54,10362-35,Myc proto-oncogene protein,c-Myc,P01106,MYC,RFU,20,546.8,
55,10363-13,Mothers against decapentaplegic homolog 3,SMAD3,P84022,SMAD3,RFU,20,2560.7,
56,10364-6,Mothers against decapentaplegic homolog 2,SMAD2,Q15796,SMAD2,RFU,20,1277.6,
57,10365-132,Interleukin-23,IL-23,P29460 Q9NPF7,IL12B IL23A,RFU,20,863.2,
58,10366-11,Platelet-derived growth factor receptor alpha,PDGFRA,P16234,PDGFRA,RFU,20,1694,
59,10367-62,Interleukin-12,IL-12,P29459 P29460,IL12A IL12B,RFU,20,206.6,
60,10370-21,Signal transducer and activator of transcription 1-alpha/beta,STAT1,P42224,STAT1,RFU,20,382.5,
61,10372-18,Signal transducer and activator of transcription 6,STAT6,P42226,STAT6,RFU,20,2325.7,
62,10390-21,E3 ubiquitin-protein ligase ZNRF3,ZNRF3,Q9ULT6,ZNRF3,RFU,20,532.4,
63,10391-1,Angiopoietin-related protein 3,ANGL3,Q9Y5C1,ANGPTL3,RFU,0.005,1025.3,
64,10396-6,Induced myeloid leukemia cell differentiation protein Mcl-1,Mcl-1,Q07820,MCL1,RFU,20,223.2,
65,10416-79,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,1267,
66,10418-36,Syntaxin-12,STX12,Q86Y82,STX12,RFU,20,1737.6,
67,10419-1,Scavenger receptor class A member 5,SCAR5,Q6ZMJ2,SCARA5,RFU,20,5784.7,
68,10424-31,Neural proliferation differentiation and control protein 1,NPDC1,Q9NQX5,NPDC1,RFU,20,494.2,
69,10425-3,"Beta-1,4-galactosyltransferase 5",B4GT5,O43286,B4GALT5,RFU,20,545.3,
70,10427-2,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,1262.4,
71,10428-1,Killer cell immunoglobulin-like receptor 2DS2,KI2S2,P43631,KIR2DS2,RFU,20,2267.2,
72,10430-31,4F2 cell-surface antigen heavy chain,4F2,P08195,SLC3A2,RFU,20,156.1,
73,10432-3,Uncharacterized protein KIAA1644,K1644,Q3SXP7,KIAA1644,RFU,20,136.7,
74,10435-2,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,ASPG,P20933,AGA,RFU,20,656.9,
75,10438-19,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,CSF2R,P15509,CSF2RA,RFU,0.5,1074.2,
76,10440-26,CXADR-like membrane protein,ACAM,Q9H6B4,CLMP,RFU,20,1118.3,
77,10442-1,Transmembrane protein 190,TM190,Q8WZ59,TMEM190,RFU,20,264.3,
78,10445-20,Apolipoprotein M,ApoM,O95445,APOM,RFU,0.005,984.1,
79,10447-18,Polyadenylate-binding protein 3,PABP3,Q9H361,PABPC3,RFU,20,2321.9,
80,10451-11,Nucleobindin-1,NUCB1,Q02818,NUCB1,RFU,0.5,2384.2,
81,10453-7,Carcinoembryonic antigen-related cell adhesion molecule 20,CEA20,Q6UY09,CEACAM20,RFU,20,119.4,
82,10454-99,DnaJ homolog subfamily C member 16,DJC16,Q9Y2G8,DNAJC16,RFU,20,158.3,
83,10455-196,Interleukin-31,IL-31,Q6EBC2,IL31,RFU,20,493,
84,10461-57,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,176.8,
85,10462-14,Insulin-like peptide INSL5,INSL5,Q9Y5Q6,INSL5,RFU,20,341.7,
86,10464-6,Anthrax toxin receptor 1,ANTR1,Q9H6X2,ANTXR1,RFU,20,1557.7,
87,10467-58,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,487.5,
88,10471-25,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,440.9,
89,10476-23,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,9554.2,
90,10489-19,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,143.4,
91,10490-3,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,P04843,RPN1,RFU,20,4658.1,
92,10494-48,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,205,
93,10495-10,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,194.4,
94,10496-11,Calcium-activated chloride channel regulator 1,CaCC,A8K7I4,CLCA1,RFU,20,888.3,
95,10497-242,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,357.8,
96,10499-1,Transmembrane protein 106A,T106A,Q96A25,TMEM106A,RFU,20,192.5,
97,10502-15,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,456.6,
98,10503-55,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,994.3,
99,10504-6,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,214.2,
100,10506-53,Membrane-associated progesterone receptor component 2,PGRC2,O15173,PGRMC2,RFU,20,1009.6,
101,10507-166,Acrosomal protein SP-10,sperm protein 10,P26436,ACRV1,RFU,20,214,
102,10510-62,SLP adapter and CSK-interacting membrane protein,SCIMP,Q6UWF3,SCIMP,RFU,20,164.8,
103,10512-13,Cytokine receptor common subunit beta,IL3RB,P32927,CSF2RB,RFU,20,241.1,
104,10513-13,Calsenilin,CSEN,Q9Y2W7,KCNIP3,RFU,20,941.9,
105,10514-5,Prostaglandin-H2 D-isomerase,PGD2 synthase,P41222,PTGDS,RFU,0.5,14892.2,
106,10516-53,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,59.9,
107,10518-14,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,111.8,
108,10521-10,Matrix-remodeling-associated protein 8,MXRA8,Q9BRK3,MXRA8,RFU,0.5,446.4,
109,10527-22,ATP-dependent RNA helicase A,DHX9,Q08211,DHX9,RFU,20,317.4,
110,10529-19,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,274.7,
111,10530-8,Proteasome subunit beta type-6,PSB6,P28072,PSMB6,RFU,20,343.7,
112,10531-18,GTPase NRas,RASN,P01111,NRAS,RFU,20,2593.4,
113,10533-1,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,184.6,
114,10534-40,Poly [ADP-ribose] polymerase 1,PARP,P09874,PARP1,RFU,20,219.6,
115,10539-30,CD99 antigen-like protein 2,C99L2,Q8TCZ2,CD99L2,RFU,20,528.5,
116,10546-2,Thrombospondin-type laminin G domain and EAR repeat-containing protein,TSEAR,Q8WU66,TSPEAR,RFU,20,816.1,
117,10547-42,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,621.8,
118,10548-35,Fc_MOUSE,Fc_MOUSE,Q99LC4,NA,RFU,20,1995.2,
119,10550-37,Bone morphogenetic protein receptor type-1B,BMP RIB,O00238,BMPR1B,RFU,20,411.8,
120,10551-7,Linker for activation of T-cells family member 1,LAT,O43561,LAT,RFU,20,7315.5,
121,10552-88,NKG2-F type II integral membrane protein,NKG2F,O43908,KLRC4,RFU,20,466.2,
122,10553-8,Torsin-1A-interacting protein 2,TOIP2,Q8NFQ8,TOR1AIP2,RFU,20,2086,
123,10557-6,Testis-expressed sequence 29 protein,TEX29,Q8N6K0,TEX29,RFU,0.5,1591.1,
124,10558-26,Protocadherin-9,PCDH9,Q9HC56,PCDH9,RFU,20,4335.3,
125,10560-1,Integral membrane protein 2C,ITM2C,Q9NQX7,ITM2C,RFU,20,242.8,
